Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/19  19:00:00,45.854267801,4.40244694023,10.7702790772,0.0,9.17985065927,19.4245,47.9098542665,0.0,33.3988,14.5110542665
 05/19  20:00:00,44.3354500351,4.40244694023,7.18787166425,0.0,9.17985065927,19.4245,45.564293974,0.0,33.3988,12.165493974
 05/19  21:00:00,41.5434321318,4.40244694023,2.38446922342,0.0,9.17985065927,19.4245,37.8070504008,0.0,25.0491,12.7579504008
 05/19  22:00:00,40.3282958844,4.40244694023,1.17732408261,0.0,9.17985065927,19.4245,27.6941328086,0.0,16.6994,10.9947328086
 05/19  23:00:00,40.1768235115,4.40244694023,0.268929150472,0.0,9.17985065927,19.4245,14.7111890925,0.0155184731981,8.3497,6.34597061934
 05/19  24:00:00,23.1652381061,4.40244694023,0.00695947560837,0.0,4.58992532963,8.1892,9.91555306085,1.38476144472,3.33988,5.19091161613
 05/20  01:00:00,14.9125722819,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 05/20  02:00:00,14.9395697811,0.0,0.0,0.0,1.52997510988,7.4902,3.9319456977,0.0,3.33988,0.592065697702
 05/20  03:00:00,14.9557174385,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 05/20  04:00:00,15.1138616547,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 05/20  05:00:00,23.2454935535,4.40244694023,0.0,0.0,4.58992532963,8.1892,23.3886067499,14.4468179136,8.3497,0.592088836257
 05/20  06:00:00,37.0845909845,4.40244694023,0.0241732722194,0.0,9.17985065927,19.4245,31.604138791,10.8682178115,16.6994,4.03652097954
 05/20  07:00:00,42.4768101987,4.40244694023,0.03650833669,0.0,9.17985065927,26.9147,28.5125710188,0.0,25.0491,3.46347101884
 05/20  08:00:00,43.4031500586,4.40244694023,0.876257319565,0.0,9.17985065927,26.9147,37.4366162897,0.0,33.3988,4.03781628965
 05/20  09:00:00,37.2913074181,4.40244694023,2.21777221006,0.0,9.17985065927,19.4245,36.6356357566,0.0,25.0491,11.5865357566
 05/20  10:00:00,46.0216813257,4.40244694023,3.4491010926,0.0,9.17985065927,26.9147,52.7446920741,0.0,41.7485,10.9961920741
 05/20  11:00:00,48.9465113354,4.40244694023,5.65502499989,0.0,9.17985065927,26.9147,53.9131015625,0.0,41.7485,12.1646015625
 05/20  12:00:00,50.0417784011,4.40244694023,7.38993356036,0.0,9.17985065927,26.9147,53.9123409412,0.0,41.7485,12.1638409412
